Root -9223372036530019839: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036529911295: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036529856511: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036529846783: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036529846271: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036523820031: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036523810815: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036523802623: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036523765247: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036523764735: #dirs=0, #files=30, size = 3145728000000 = 2.861 TB, found=0, notFound=30
Root -9223372036517723903: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036517687039: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036517679359: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036517365503: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036517364991: #dirs=0, #files=300, size = 3145728000000 = 2.861 TB, found=0, notFound=300
Root -9223372036510894591: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036510581247: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036510572543: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036510560767: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036510560255: #dirs=0, #files=5, size = 5242880000000 = 4.768 TB, found=0, notFound=5
Root -9223372036500555263: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036500543999: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036500536831: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036500478975: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036500478463: #dirs=0, #files=50, size = 5242880000000 = 4.768 TB, found=0, notFound=50
Root -9223372036490425855: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036490368511: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036490361343: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036489842687: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036489842175: #dirs=0, #files=500, size = 5242880000000 = 4.768 TB, found=0, notFound=500
Root -9223372036479020543: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036478502399: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036477712639: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036475494655: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036473013247: #dirs=0, #files=42, size = 5592358038 = 5.208 GB, found=0, notFound=42
Root -9223372036472948224: #dirs=0, #files=1, size = 5 = 5 B, found=1, notFound=0
Root -9223372036472947712: #dirs=2, #files=0, size = 0 = 0 B, found=0, notFound=0
Root -9223372036472743935: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036447952383: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036442533631: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036439393791: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036420233727: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036418593279: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036416953343: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036415312383: #dirs=5, #files=14, size = 5242880000735 = 4.768 TB, found=0, notFound=14
Root -9223372036415312381: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036415305727: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036415305215: #dirs=0, #files=1, size = 1048576000000 = 976.563 GB, found=0, notFound=1
Root -9223372036413297663: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036413291007: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036413283839: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036413266943: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036413266431: #dirs=0, #files=10, size = 1048576000000 = 976.563 GB, found=0, notFound=10
Root -9223372036411252735: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036411236351: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036411229183: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036411120127: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036411119615: #dirs=0, #files=100, size = 1048576000000 = 976.563 GB, found=0, notFound=100
Root -9223372036409013759: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036408905215: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036408898559: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036408888831: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036408888319: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036402879231: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036402870015: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036402862847: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036402825471: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036402824959: #dirs=0, #files=30, size = 3145728000000 = 2.861 TB, found=0, notFound=30
Root -9223372036396796671: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036396752639: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036379691007: #dirs=5, #files=104, size = 5242880005812 = 4.768 TB, found=0, notFound=104
Root -9223372036379691005: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036379684351: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036379683839: #dirs=0, #files=1, size = 1048576000000 = 976.563 GB, found=0, notFound=1
Root -9223372036377676799: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036377670143: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036377662975: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036377646079: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036377645567: #dirs=0, #files=10, size = 1048576000000 = 976.563 GB, found=0, notFound=10
Root -9223372036375632383: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036375615999: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036375608831: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036375499775: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036375499263: #dirs=0, #files=100, size = 1048576000000 = 976.563 GB, found=0, notFound=100
Root -9223372036373389567: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036373281023: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036373274367: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036373264639: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036373264127: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036367254527: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036367245311: #dirs=0, #files=2, size = 83 = 83 B, found=0, notFound=2
Root -9223372036367238143: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
